Company ID,Wage,Wage Type,Zip Code of Residence
4,"112,291.00",Salary,56024
4,"64,701.00",Salary,56082
4,10.81,Hourly,56001
4,"53,505.00",Salary,56024
4,20.48,Hourly,56001
4,20.36,Hourly,56001
4,"52,465.00",Salary,56082
4,"70,212.00",Salary,55112
4,19.88,Hourly,56017
4,"71,097.00",Salary,56001
4,"47,230.00",Salary,56063
4,17.55,Hourly,56024
4,10.68,Hourly,56058
4,18.64,Hourly,56050
4,"43,065.00",Salary,56024
4,18.01,Hourly,56082
4,15.54,Hourly,56055
4,15.15,Hourly,56082
4,"130,842.00",Salary,56024
4,"73,721.00",Salary,56001
4,"79,578.00",Salary,75165
4,"125,584.00",Salary,56048
4,"61,267.00",Salary,56003
4,"49,992.00",Salary,56082
4,"40,874.00",Salary,56082
4,13.25,Hourly,56001
4,15.65,Hourly,56003
4,19.63,Hourly,56001
4,16.41,Hourly,56082
4,"42,850.00",Salary,56001
4,15.21,Hourly,56017
4,"55,712.00",Salary,56082
4,20.37,Hourly,56001
4,"110,690.00",Salary,55350
4,20.15,Hourly,56017
4,17.66,Hourly,56001
4,15.06,Hourly,56017
4,"40,008.00",Salary,56069
4,13.29,Hourly,55052
4,19.40,Hourly,56063
4,18.77,Hourly,56074
4,14.47,Hourly,56050
4,15.09,Hourly,56001
5,"81,717.00",Salary,56237
5,13.91,Hourly,56245
5,12.52,Hourly,68104
5,10.24,Hourly,56297
5,10.90,Hourly,56241
5,13.60,Hourly,68008
5,12.45,Hourly,56297
5,11.99,Hourly,56297
5,12.55,Hourly,56297
5,"32,997.00",Salary,68112
5,12.16,Hourly,68111
5,20.03,Hourly,56214
5,11.93,Hourly,68110
5,16.43,Hourly,56258
5,11.01,Hourly,56297
5,13.51,Hourly,56241
5,13.96,Hourly,56258
5,11.41,Hourly,56214
5,11.91,Hourly,56237
5,15.09,Hourly,56237
5,14.55,Hourly,68114
5,10.43,Hourly,68154
5,10.53,Hourly,68111
5,14.08,Hourly,68048
5,13.97,Hourly,68107
5,"49,581.00",Salary,56264
5,11.04,Hourly,68105
5,9.99,Hourly,68164
5,10.70,Hourly,68104
5,11.03,Hourly,68005
5,12.42,Hourly,56241
5,12.19,Hourly,56297
5,13.41,Hourly,68107
5,13.99,Hourly,68107
5,14.44,Hourly,56292
5,"41,934.00",Salary,68117
5,"65,529.00",Salary,68023
5,13.45,Hourly,56245
5,13.55,Hourly,56297
5,11.31,Hourly,56255
5,10.21,Hourly,68112
5,10.94,Hourly,68111
5,11.00,Hourly,51501
5,10.43,Hourly,68137
5,10.10,Hourly,68122
5,"35,438.00",Salary,68107
5,10.97,Hourly,68164
5,15.01,Hourly,68107
5,12.29,Hourly,68164
5,12.85,Hourly,68023
5,"36,701.00",Salary,68134
5,11.90,Hourly,68105
5,10.09,Hourly,68107
5,10.78,Hourly,68105
5,10.68,Hourly,68137
5,11.55,Hourly,56214
5,15.08,Hourly,56297
5,14.40,Hourly,68134
5,"50,276.00",Salary,68112
5,"104,629.00",Salary,68134
5,10.67,Hourly,56297
5,12.97,Hourly,56229
5,16.06,Hourly,56263
5,10.66,Hourly,68164
5,13.59,Hourly,68164
5,10.27,Hourly,68117
5,12.07,Hourly,68164
5,15.41,Hourly,56297
5,11.18,Hourly,56180
5,14.96,Hourly,68164
5,12.57,Hourly,68127
5,15.49,Hourly,56241
5,11.85,Hourly,56258
5,"40,626.00",Salary,68008
5,"101,137.00",Salary,51501
5,14.58,Hourly,68037
5,"60,952.00",Salary,56241
5,13.59,Hourly,68107
5,20.18,Hourly,56297
5,13.52,Hourly,68134
5,23.16,Hourly,51501
5,18.80,Hourly,56297
5,12.93,Hourly,51501
5,10.95,Hourly,68123
5,"49,139.00",Salary,56283
5,10.73,Hourly,68008
5,12.48,Hourly,68106
5,10.65,Hourly,56297
5,13.93,Hourly,68123
5,9.98,Hourly,56229
5,"31,116.00",Salary,68144
5,11.98,Hourly,56258
5,15.09,Hourly,56229
5,12.03,Hourly,56229
5,10.18,Hourly,68107
5,13.50,Hourly,68105
5,14.06,Hourly,56297
5,11.03,Hourly,56297
5,"89,543.00",Salary,68152
5,15.57,Hourly,68107
5,11.96,Hourly,68123
5,10.72,Hourly,68111
5,13.91,Hourly,68122
5,10.67,Hourly,56292
5,14.90,Hourly,56292
5,13.06,Hourly,68107
5,11.46,Hourly,68107
5,10.45,Hourly,68104
5,11.51,Hourly,56229
5,9.99,Hourly,56241
5,10.16,Hourly,68147
5,11.42,Hourly,56263
5,10.08,Hourly,68107
5,14.08,Hourly,56241
5,10.56,Hourly,68144
5,15.55,Hourly,56237
5,13.98,Hourly,68164
5,15.51,Hourly,68135
5,"59,686.00",Salary,56241
5,11.98,Hourly,68008
5,13.90,Hourly,68008
5,12.99,Hourly,68112
5,10.50,Hourly,68111
5,10.43,Hourly,51501
5,11.00,Hourly,56297
5,13.50,Hourly,68131
5,10.69,Hourly,68107
5,11.26,Hourly,56245
5,13.93,Hourly,56239
5,11.72,Hourly,56241
5,10.95,Hourly,68105
5,"41,886.00",Salary,56223
5,17.16,Hourly,56297
5,14.05,Hourly,56285
5,15.40,Hourly,68104
5,"51,834.00",Salary,60178
5,"19,804.00",Salary,63119
8,"91,933.00",Salary,97006
8,"115,512.00",Salary,97035
8,"72,052.00",Salary,97006
8,"122,006.00",Salary,97302
8,"100,794.00",Salary,22936
8,"48,326.00",Salary,97202
8,"51,991.00",Salary,97224
8,"120,834.00",Salary,97303
8,"64,314.00",Salary,97123
8,"117,068.00",Salary,97202
8,"101,134.00",Salary,97224
8,"102,832.00",Salary,97140
8,"85,923.00",Salary,97007
8,"102,768.00",Salary,92026
8,"118,614.00",Salary,97006
8,"79,424.00",Salary,97223
8,"125,268.00",Salary,97229
8,"120,481.00",Salary,22033
8,"131,073.00",Salary,97225
8,"106,896.00",Salary,97035
8,"68,431.00",Salary,97035
8,"67,079.00",Salary,97035
8,"109,503.00",Salary,97062
8,"136,123.00",Salary,27613
8,"109,451.00",Salary,78701
