ZCTA5,MEMI,CBSA,POPPT,HUPT,AREAPT,AREALANDPT,ZPOP,ZHU,ZAREA,ZAREALAND,MPOP,MHU,MAREA,MAREALAND,ZPOPPCT,ZHUPCT,ZAREAPCT,ZAREALANDPCT,MPOPPCT,MHUPCT,MAREAPCT,MAREALANDPCT
601,2,10260,18465,7695,165132671,164333375,18570,7744,167459085,166659789,19483,8125,173777444,172725651,99.43,99.37,98.61,98.6,94.77,94.71,95.03,95.14
601,2,46580,105,49,2326414,2326414,18570,7744,167459085,166659789,33149,14192,298027589,294039825,0.57,0.63,1.39,1.4,0.32,0.35,0.78,0.79
602,1,10380,41520,18073,83734431,79288158,41520,18073,83734431,79288158,306292,138855,1283409618,928441564,100,100,100,100,13.56,13.02,6.52,8.54
603,1,10380,54689,25653,82063867,81880442,54689,25653,82063867,81880442,306292,138855,1283409618,928441564,100,100,100,100,17.86,18.47,6.39,8.82
606,1,41900,89,38,6679806,6679806,6615,2877,109592548,109580061,137462,69481,955442678,571498111,1.35,1.32,6.1,6.1,0.06,0.05,0.7,1.17
606,1,49500,250,99,8048393,8048393,6615,2877,109592548,109580061,107333,45631,726214759,497613517,3.78,3.44,7.34,7.34,0.23,0.22,1.11,1.62
610,1,10380,29016,12618,97193468,93021467,29016,12618,97193468,93021467,306292,138855,1283409618,928441564,100,100,100,100,9.47,9.09,7.57,10.02
612,1,41980,67010,30992,184915406,175106243,67010,30992,184915406,175106243,2478905,1073552,5223033344,4117856690,100,100,100,100,2.7,2.89,3.54,4.25
616,1,41980,11017,4896,30019620,29870473,11017,4896,30019620,29870473,2478905,1073552,5223033344,4117856690,100,100,100,100,0.44,0.46,0.57,0.73
617,1,41980,24597,10594,43335127,39347158,24597,10594,43335127,39347158,2478905,1073552,5223033344,4117856690,100,100,100,100,0.99,0.99,0.83,0.96
622,1,41900,7853,8714,76771945,75077028,7853,8714,76771945,75077028,137462,69481,955442678,571498111,100,100,100,100,5.71,12.54,8.04,13.14
623,1,41900,43061,21426,100001387,98367847,43061,21426,100001387,98367847,137462,69481,955442678,571498111,100,100,100,100,31.33,30.84,10.47,17.21
624,1,38660,1961,686,4468805,4466247,26241,9905,114316394,111791516,243147,99359,874803803,545648108,7.47,6.93,3.91,4,0.81,0.69,0.51,0.82
